key,label,frequency
badaaiik,1,1
ughllaaaallaa,1,1
kirain,1,1
lypsinc,1,1
habis,1,3
eh,1,2
bareng,1,4
kereennn,1,1
ntar,1,2
duit,1,2
cemerlang,1,1
min,1,3
publik,1,1
kyk,1,5
mrinding,1,1
poll,1,1
jaga,1,5
jng,1,1
smpek,1,1
aw,1,1
dkk,1,2
sumpaah,1,1
ampun,1,1
lakikny,1,1
rini,1,9
mungil,1,1
skrg,1,7
swett,1,2
syg,1,4
haaaaaaa,1,1
langgeng,1,7
sllu,1,2
hamil,1,7
selamat,1,12
kandung,1,7
proses,1,1
salin,1,2
kasi,1,3
sampek,1,1
rusak,1,2
jugak,1,1
kek,1,4
emaknya,1,1
sandra,1,2
fit,1,1
prosesi,1,1
sukakkk,1,1
couple,1,1
infotainment,1,1
wkt,1,2
jelang,1,1
dewi,1,5
ken,1,4
hbs,1,3
meni,1,3
krn,1,11
sdh,1,3
prepare,1,1
blm,1,6
finally,1,1
congrats,1,1
lahir,1,4
terhumble,1,1
engga,1,2
pnah,1,1
manja,1,1
jet,1,2
bunda,1,5
maia,1,1
slalu,1,8
kaguminn,1,1
utama,1,2
puyeng,1,2
hibur,1,4
artisann,1,1
tajirrr,1,1
mampuss,1,1
plus,1,1
alayy,1,1
aneh,1,2
salutt,1,1
niaa,1,1
smiga,1,1
nia,1,3
famzz,1,1
fans,1,1
sinteronnya,1,1
urus,1,2
itungannya,1,1
beda,1,7
smnjk,1,1
aura,1,2
keluarr,1,1
kliatan,1,4
gt,1,2
tulusss,1,1
mngkin,1,1
marah,1,2
krna,1,1
ad,1,1
enk,1,1
aj,1,2
ko,1,1
bully,1,2
sgala,1,1
bgus,1,1
pinter,1,6
mnyikapi,1,1
medsos,1,2
jagain,1,1
ariel,1,3
kharisma,1,2
tarik,1,9
skrang,1,1
keriput,1,1
ttp,1,4
lelaki,1,3
bukti,1,4
mama,1,3
sa,1,1
harga,1,3
tulis,1,3
sosmed,1,1
smart,1,1
guys,1,13
lgu,1,1
trus,1,3
bangat,1,2
salpok,1,1
sumpah,1,6
music,1,1
bngat,1,1
konsep,1,1
mv,1,1
handel,1,1
denada,1,1
taro,1,1
kutang,1,1
minim,1,2
perestasi,1,1
agnes,1,5
prestasi,1,3
fashion,1,1
berani,1,4
cocok,1,7
kritik,1,2
protes,1,3
usaha,1,4
pendek,1,1
butuh,1,1
international,1,2
klau,1,2
kaliam,1,1
asyik,1,2
bandingin,1,1
internasional,1,2
ngena,1,1
seru,1,17
didenger,1,1
tumben,1,3
bumbu,1,1
batik,1,1
superman,1,1
wkwkwk,1,1
asik,1,9
dengernyaa,1,1
mak,1,1
album,1,1
inih,1,1
beautiful,1,1
mistake,1,1
talenta,1,1
pamer,1,2
ky,1,1
ygblain,1,1
enakk,1,2
musik,1,3
nyaa,1,4
lhatt,1,1
ka,1,3
dance,1,1
nyamaann,1,1
kayaa,1,1
bgts,1,1
dancenya,1,1
mancappppp,1,1
kenceng,1,1
ragu,1,1
mami,1,5
depe,1,7
kalah,1,1
yesss,1,1
cuco,1,1
babang,1,2
unchhh,1,1
lope,1,1
keliahatannya,1,1
ijk,1,1
matre,1,1
single,1,1
doi,1,1
ajak,1,2
rit,1,1
tetangga,1,1
sblh,1,1
matrenya,1,1
embat,1,1
duda,1,1
singgel,1,1
ngak,1,1
setia,1,13
akhirat,1,3
luck,1,1
persil,1,1
muantepp,1,1
tempuh,1,1
mg,1,1
tanggax,1,1
bhagia,1,1
selladem,1,1
ayem,1,1
mb,1,8
yo,1,1
masny,1,1
ngefans,1,1
saiful,1,1
blng,1,1
